Designator,Center-X(mm),Center-Y(mm),Layer,Rotation
L_LED265,-162.6388,82.6312,BottomLayer,-90
L_LED266,-167.6388,82.6312,BottomLayer,-90
L_LED267,-172.6388,82.6312,BottomLayer,-90
L_LED268,-167.6312,87.6388,BottomLayer,90
L_LED269,-162.6312,87.6388,BottomLayer,90
L_LED270,-157.6312,87.6388,BottomLayer,90
L_LED271,-152.6312,87.6388,BottomLayer,90
L_LED272,-147.6312,87.6388,BottomLayer,90
L_LED273,-142.6312,87.6388,BottomLayer,90
L_LED274,-137.6312,87.6388,BottomLayer,90
L_LED275,-132.6312,87.6388,BottomLayer,90
L_LED276,-127.6312,87.6388,BottomLayer,90
L_LED277,-122.6312,87.6388,BottomLayer,90
L_LED278,-117.6312,87.6388,BottomLayer,90
L_LED279,-112.6312,87.6388,BottomLayer,90
L_LED280,-107.6312,87.6388,BottomLayer,90
L_LED281,-102.6312,87.6388,BottomLayer,90
L_LED282,-97.6312,87.6388,BottomLayer,90
L_LED283,-92.6312,87.6388,BottomLayer,90
L_LED284,-87.6312,87.6388,BottomLayer,90
L_LED285,-82.6312,87.6388,BottomLayer,90
L_LED286,-82.6388,92.6312,BottomLayer,-90
L_LED287,-87.6388,92.6312,BottomLayer,-90
L_LED288,-92.6388,92.6312,BottomLayer,-90
L_LED289,-97.6388,92.6312,BottomLayer,-90
L_LED290,-102.6388,92.6312,BottomLayer,-90
L_LED291,-107.6388,92.6312,BottomLayer,-90
L_LED292,-112.6388,92.6312,BottomLayer,-90
L_LED293,-117.6388,92.6312,BottomLayer,-90
L_LED294,-122.6388,92.6312,BottomLayer,-90
L_LED295,-127.6388,92.6312,BottomLayer,-90
L_LED296,-132.6388,92.6312,BottomLayer,-90
L_LED297,-137.6388,92.6312,BottomLayer,-90
L_LED298,-142.6388,92.6312,BottomLayer,-90
L_LED299,-147.6388,92.6312,BottomLayer,-90
L_LED300,-152.6388,92.6312,BottomLayer,-90
L_LED301,-157.6388,92.6312,BottomLayer,-90
L_LED302,-162.6388,92.6312,BottomLayer,-90
L_LED303,-167.6388,92.6312,BottomLayer,-90
L_LED304,-162.6312,97.6388,BottomLayer,90
L_LED305,-157.6312,97.6388,BottomLayer,90
L_LED306,-152.6312,97.6388,BottomLayer,90
L_LED307,-147.6312,97.6388,BottomLayer,90
L_LED308,-142.6312,97.6388,BottomLayer,90
L_LED309,-137.6312,97.6388,BottomLayer,90
L_LED310,-132.6312,97.6388,BottomLayer,90
L_LED311,-127.6312,97.6388,BottomLayer,90
L_LED312,-122.6312,97.6388,BottomLayer,90
L_LED313,-117.6312,97.6388,BottomLayer,90
L_LED314,-112.6312,97.6388,BottomLayer,90
L_LED315,-107.6312,97.6388,BottomLayer,90
L_LED316,-102.6312,97.6388,BottomLayer,90
L_LED317,-97.6312,97.6388,BottomLayer,90
L_LED318,-92.6312,97.6388,BottomLayer,90
L_LED319,-87.6312,97.6388,BottomLayer,90
L_LED320,-97.6388,102.6312,BottomLayer,-90
L_LED321,-102.6388,102.6312,BottomLayer,-90
L_LED322,-107.6388,102.6312,BottomLayer,-90
L_LED323,-112.6388,102.6312,BottomLayer,-90
L_LED324,-117.6388,102.6312,BottomLayer,-90
L_LED325,-122.6388,102.6312,BottomLayer,-90
L_LED326,-127.6388,102.6312,BottomLayer,-90
