Designator,Mid X,Mid Y,Layer,Rotation
LED380,118.6388,38.6312,Top,0
LED381,118.6312,43.6388,Top,180
LED382,113.6312,43.6388,Top,180
LED383,108.6312,43.6388,Top,180
LED384,103.6312,43.6388,Top,180
LED385,98.6312,43.6388,Top,180
LED386,93.6312,43.6388,Top,180
LED387,88.6312,43.6388,Top,180
LED388,83.6312,43.6388,Top,180
LED389,78.6312,43.6388,Top,180
LED390,73.6312,43.6388,Top,180
LED391,68.6312,43.6388,Top,180
LED392,63.6312,43.6388,Top,180
LED393,58.6312,43.6388,Top,180
LED394,58.6388,48.6312,Top,0
LED395,63.6388,48.6312,Top,0
LED396,68.6388,48.6312,Top,0
LED397,73.6388,48.6312,Top,0
LED398,78.6388,48.6312,Top,0
LED399,83.6388,48.6312,Top,0
LED400,88.6388,48.6312,Top,0
LED401,93.6388,48.6312,Top,0
LED402,98.6388,48.6312,Top,0
LED403,103.6388,48.6312,Top,0
LED404,108.6388,48.6312,Top,0
LED405,113.6388,48.6312,Top,0
LED406,118.6388,48.6312,Top,0
LED407,118.6312,53.6388,Top,180
LED408,113.6312,53.6388,Top,180
LED409,108.6312,53.6388,Top,180
LED410,103.6312,53.6388,Top,180
LED411,98.6312,53.6388,Top,180
LED412,93.6312,53.6388,Top,180
LED413,88.6312,53.6388,Top,180
LED414,83.6312,53.6388,Top,180
LED415,78.6312,53.6388,Top,180
LED416,73.6312,53.6388,Top,180
LED417,68.6312,53.6388,Top,180
LED418,63.6312,53.6388,Top,180
LED419,58.6312,53.6388,Top,180
LED420,53.6312,53.6388,Top,180
LED421,53.6388,58.6312,Top,0
LED422,58.6388,58.6312,Top,0
LED423,63.6388,58.6312,Top,0
LED424,68.6388,58.6312,Top,0
LED425,73.6388,58.6312,Top,0
LED426,78.6388,58.6312,Top,0
LED427,83.6388,58.6312,Top,0
LED428,88.6388,58.6312,Top,0
LED429,93.6388,58.6312,Top,0
LED430,98.6388,58.6312,Top,0
LED431,103.6388,58.6312,Top,0
LED432,108.6388,58.6312,Top,0
LED433,113.6388,58.6312,Top,0
LED434,118.6388,58.6312,Top,0
LED435,118.6312,63.6388,Top,180
LED436,113.6312,63.6388,Top,180
LED437,108.6312,63.6388,Top,180
LED438,103.6312,63.6388,Top,180
LED439,98.6312,63.6388,Top,180
LED440,93.6312,63.6388,Top,180
LED441,88.6312,63.6388,Top,180
LED442,83.6312,63.6388,Top,180
LED443,78.6312,63.6388,Top,180
LED444,73.6312,63.6388,Top,180
LED445,68.6312,63.6388,Top,180
LED446,63.6312,63.6388,Top,180
LED447,58.6312,63.6388,Top,180
LED448,53.6312,63.6388,Top,180
LED449,48.6312,63.6388,Top,180
LED450,48.6388,68.6312,Top,0
LED451,53.6388,68.6312,Top,0
LED452,58.6388,68.6312,Top,0
LED453,63.6388,68.6312,Top,0
LED454,68.6388,68.6312,Top,0
LED455,73.6388,68.6312,Top,0
LED456,78.6388,68.6312,Top,0
LED457,83.6388,68.6312,Top,0
LED458,88.6388,68.6312,Top,0
LED459,93.6388,68.6312,Top,0
LED460,98.6388,68.6312,Top,0
LED461,103.6388,68.6312,Top,0
LED462,108.6388,68.6312,Top,0
LED463,113.6388,68.6312,Top,0
LED464,118.6388,68.6312,Top,0
LED465,118.6312,73.6388,Top,180
LED466,113.6312,73.6388,Top,180
LED467,108.6312,73.6388,Top,180
LED468,103.6312,73.6388,Top,180
LED469,98.6312,73.6388,Top,180
